date,open,high,low,close,volume,dividend,ratio
2017-11-09,0.500877,1.022507,0.46029,0.749254,14987891.0,0.0,1
2017-11-10,0.600979,0.980764,0.462705,0.636127,5465287.0,0.0,1
2017-11-11,0.508526,0.864728,0.443129,0.625916,4464708.0,0.0,1
2017-11-12,0.500446,0.797828,0.387197,0.547565,5821067.0,0.0,1
2017-11-13,0.443837,0.758523,0.403849,0.589742,3594367.0,0.0,1
2017-11-14,0.471083,0.769553,0.430726,0.597857,2536498.0,0.0,1
2017-11-15,0.476626,0.79503,0.433862,0.610529,5526305.0,0.0,1
2017-11-16,0.48955,0.814573,0.442585,0.625233,4058911.0,0.0,1
2017-11-17,0.493051,0.789715,0.430454,0.60027,2977175.0,0.0,1
2017-11-18,0.477146,0.808758,0.428229,0.625472,2553976.0,0.0,1
2017-11-19,0.49692,0.848302,0.452597,0.653976,3949680.0,0.0,1
2017-11-20,0.523138,0.923216,0.47996,0.676922,12766920.0,0.0,1
2017-11-21,0.54125,0.874399,0.471403,0.659518,4909107.0,0.0,1
2017-11-22,0.52797,0.855756,0.484363,0.668966,4076714.0,0.0,1
2017-11-23,0.5343,0.866047,0.483925,0.65558,4377257.0,0.0,1
2017-11-24,0.52244,0.970613,0.478469,0.703409,6642390.0,0.0,1
2017-11-25,0.558995,0.941939,0.507784,0.730103,5397281.0,0.0,1
2017-11-26,0.583666,1.114585,0.535514,0.824556,24026080.0,0.0,1
2017-11-27,0.662395,1.50096,0.616892,1.074964,61227875.0,0.0,1
2017-11-28,0.859187,3.015027,0.762085,2.187531,187493428.0,0.0,1
2017-11-29,1.730132,3.30317,1.136796,1.66334,163721819.0,0.0,1
2017-11-30,1.398078,2.893196,1.286344,2.146211,96736189.0,0.0,1
2017-12-01,1.673079,2.949566,1.507956,2.340977,57423488.0,0.0,1
2017-12-02,1.873435,3.121472,1.711271,2.372784,44378120.0,0.0,1
2017-12-03,1.895442,3.15776,1.673067,2.365098,36643299.0,0.0,1
2017-12-04,1.886664,3.282029,1.696441,2.448213,59748410.0,0.0,1
2017-12-05,1.948118,3.207016,1.708194,2.395508,40982240.0,0.0,1
2017-12-06,1.900642,4.36698,1.601666,2.804729,107313374.0,0.0,1
2017-12-07,2.247003,4.609284,1.877826,2.637404,137943996.0,0.0,1
2017-12-08,2.123043,3.646563,1.688784,2.639294,77654529.0,0.0,1
2017-12-09,2.096927,3.947335,1.909639,2.756629,58841360.0,0.0,1
2017-12-10,2.207252,4.172434,1.816603,2.952093,85869394.0,0.0,1
2017-12-11,2.355299,4.139483,2.087271,3.091708,50474914.0,0.0,1
2017-12-12,2.484092,4.64709,2.222073,3.469122,80111862.0,0.0,1
2017-12-13,2.781645,5.347185,2.420074,4.083366,108644878.0,0.0,1
2017-12-14,3.260427,7.768602,2.797566,5.896786,315736523.0,0.0,1
2017-12-15,4.595466,7.286633,3.434069,5.067069,201916141.0,0.0,1
2017-12-16,4.057551,11.274871,3.57977,8.011539,483783368.0,0.0,1
2017-12-17,6.178844,14.077149,5.637892,9.817496,509867980.0,0.0,1
2017-12-18,7.830512,12.93371,6.688209,10.110239,223320737.0,0.0,1
2017-12-19,8.10356,14.172403,7.118532,10.124435,237190533.0,0.0,1
2017-12-20,8.112464,13.243133,6.332588,9.562959,171913659.0,0.0,1
2017-12-21,7.680829,13.018014,6.638371,9.314489,150365529.0,0.0,1
2017-12-22,7.460343,11.792229,4.256015,7.841467,127264053.0,0.0,1
2017-12-23,6.364017,11.042219,5.643395,7.999423,79326177.0,0.0,1
2017-12-24,6.427526,10.125837,5.028432,7.567145,63911634.0,0.0,1
